Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),6.0
Loan Term (months),240
Inflation Rate (%),1.2
Loan Amount,1000000
Channel,משתנה צמודה כל 5
Amortization Method,שפיצר
Total Monthly Payments,240
Total Mortgage Interest,786933.74
Extraction Timestamp,20250729_043244
Monthly Income,"12,000.00"
Total Investment Amount,"935,836.74"
Total Investment Final Value,"2,157,131.70"
Total Investment Profit After Tax,"636,297.16"
Effective Annual Return After Tax,3.73%
Weighted Monthly Payment (30 years),"8,730.18"
Weighted Cost (should be ~0),-0.40
Weighted Investment Profit,"944,162.85"
Weighted Calculation Converged,Yes
