Parameter,Value
Loan Type,פריים
Interest Rate (%),6.0
Loan Term (months),228
Inflation Rate (%),1.8
Loan Amount,1000000
Channel,פריים
Amortization Method,קרן שווה
Total Monthly Payments,228
Total Mortgage Interest,572500.00
Extraction Timestamp,20250727_182413
Monthly Income,"12,000.00"
Total Investment Amount,"1,163,500.00"
Total Investment Final Value,"2,178,092.87"
Total Investment Profit After Tax,"514,822.65"
Effective Annual Return After Tax,2.91%
Weighted Monthly Payment (30 years),"7,889.78"
Weighted Cost (should be ~0),-0.20
Weighted Investment Profit,"572,499.80"
Weighted Calculation Converged,Yes
