Parameter,Value
Loan Type,פריים
Interest Rate (%),4.0
Loan Term (months),252
Inflation Rate (%),1.5
Loan Amount,1000000
Channel,פריים
Amortization Method,קרן שווה
Total Monthly Payments,252
Total Mortgage Interest,421666.67
Extraction Timestamp,20250727_190159
Monthly Income,"12,000.00"
Total Investment Amount,"1,602,333.33"
Total Investment Final Value,"3,425,858.24"
Total Investment Profit After Tax,"946,733.71"
Effective Annual Return After Tax,3.21%
Weighted Monthly Payment (30 years),"6,492.07"
Weighted Cost (should be ~0),0.07
Weighted Investment Profit,"421,666.74"
Weighted Calculation Converged,Yes
