Parameter,Value
Loan Type,משתנה לא צמודה
Interest Rate (%),3.0
Loan Term (months),168
Inflation Rate (%),1.2
Loan Amount,1000000
Channel,פריים
Amortization Method,קרן שווה
Total Monthly Payments,168
Total Mortgage Interest,211250.00
Extraction Timestamp,20250727_164043
Monthly Income,"12,000.00"
Total Investment Amount,"804,750.00"
Total Investment Final Value,"1,311,270.57"
Total Investment Profit After Tax,"248,351.32"
Effective Annual Return After Tax,3.07%
Weighted Monthly Payment (30 years),"6,501.45"
Weighted Cost (should be ~0),-0.18
Weighted Investment Profit,"211,249.82"
Weighted Calculation Converged,Yes
