Parameter,Value
Loan Type,קבועה לא צמודה
Interest Rate (%),5.5
Loan Term (months),72
Inflation Rate (%),1.2
Loan Amount,1000000
Channel,קבועה לא צמודה
Amortization Method,קרן שווה
Total Monthly Payments,72
Total Mortgage Interest,167291.67
Extraction Timestamp,20250727_193027
Monthly Income,"12,000.00"
Total Investment Amount,0.00
Total Investment Final Value,0.00
Total Investment Profit After Tax,0.00
Effective Annual Return After Tax,0.00%
Weighted Monthly Payment (30 years),"8,640.95"
Weighted Cost (should be ~0),-0.20
Weighted Investment Profit,"167,291.46"
Weighted Calculation Converged,Yes
