Parameter,Value
Loan Type,קבועה לא צמודה
Interest Rate (%),3.0
Loan Term (months),216
Inflation Rate (%),3.0
Loan Amount,1000000
Channel,קבועה לא צמודה
Amortization Method,קרן שווה
Total Monthly Payments,216
Total Mortgage Interest,271250.00
Extraction Timestamp,20250727_193530
Monthly Income,"12,000.00"
Total Investment Amount,"1,320,750.00"
Total Investment Final Value,"2,538,526.90"
Total Investment Profit After Tax,"618,150.12"
Effective Annual Return After Tax,3.21%
Weighted Monthly Payment (30 years),"6,067.13"
Weighted Cost (should be ~0),0.84
Weighted Investment Profit,"271,250.84"
Weighted Calculation Converged,Yes
