Parameter,Value
Loan Type,קבועה צמודה
Interest Rate (%),2.0
Loan Term (months),180
Inflation Rate (%),2.0
Loan Amount,1000000
Channel,קבועה צמודה
Amortization Method,קרן שווה
Total Monthly Payments,180
Total Mortgage Interest,167292.68
Extraction Timestamp,20250727_161832
Monthly Income,"12,000.00"
Total Investment Amount,"825,693.00"
Total Investment Final Value,"1,470,392.95"
Total Investment Profit After Tax,"320,732.22"
Effective Annual Return After Tax,3.40%
Weighted Monthly Payment (30 years),"6,768.49"
Weighted Cost (should be ~0),-0.31
Weighted Investment Profit,"334,306.69"
Weighted Calculation Converged,Yes
