Parameter,Value
Loan Type,פריים
Interest Rate (%),6.0
Loan Term (months),348
Inflation Rate (%),2.8
Loan Amount,1000000
Channel,פריים
Amortization Method,קרן שווה
Total Monthly Payments,348
Total Mortgage Interest,872500.00
Extraction Timestamp,20250727_194835
Monthly Income,"12,000.00"
Total Investment Amount,"2,303,500.00"
Total Investment Final Value,"6,602,017.18"
Total Investment Profit After Tax,"2,360,029.90"
Effective Annual Return After Tax,3.24%
Weighted Monthly Payment (30 years),"7,768.17"
Weighted Cost (should be ~0),0.32
Weighted Investment Profit,"872,500.32"
Weighted Calculation Converged,Yes
