Parameter,Value
Loan Type,פריים
Interest Rate (%),6.0
Loan Term (months),240
Inflation Rate (%),1.0
Loan Amount,1000000
Channel,פריים
Amortization Method,קרן שווה
Total Monthly Payments,240
Total Mortgage Interest,602500.00
Extraction Timestamp,20250727_171209
Monthly Income,"12,000.00"
Total Investment Amount,"1,277,500.00"
Total Investment Final Value,"2,493,730.77"
Total Investment Profit After Tax,"622,397.80"
Effective Annual Return After Tax,2.95%
Weighted Monthly Payment (30 years),"7,867.83"
Weighted Cost (should be ~0),-0.03
Weighted Investment Profit,"602,499.97"
Weighted Calculation Converged,Yes
