Parameter,Value
Loan Type,משתנה לא צמודה
Interest Rate (%),5.25
Loan Term (months),216
Inflation Rate (%),2.8
Loan Amount,1000000
Channel,פריים
Amortization Method,קרן שווה
Total Monthly Payments,216
Total Mortgage Interest,474687.50
Extraction Timestamp,20250727_171117
Monthly Income,"12,000.00"
Total Investment Amount,"1,117,312.50"
Total Investment Final Value,"2,047,603.20"
Total Investment Profit After Tax,"469,360.34"
Effective Annual Return After Tax,2.97%
Weighted Monthly Payment (30 years),"7,452.57"
Weighted Cost (should be ~0),-0.35
Weighted Investment Profit,"474,687.15"
Weighted Calculation Converged,Yes
