Parameter,Value
Loan Type,פריים
Interest Rate (%),4.0
Loan Term (months),216
Inflation Rate (%),2.5
Loan Amount,1000000
Channel,פריים
Amortization Method,קרן שווה
Total Monthly Payments,216
Total Mortgage Interest,361666.67
Extraction Timestamp,20250727_224747
Monthly Income,"12,000.00"
Total Investment Amount,"1,230,333.33"
Total Investment Final Value,"2,320,338.59"
Total Investment Profit After Tax,"552,021.33"
Effective Annual Return After Tax,3.11%
Weighted Monthly Payment (30 years),"6,682.48"
Weighted Cost (should be ~0),0.67
Weighted Investment Profit,"361,667.34"
Weighted Calculation Converged,Yes
