Parameter,Value
Loan Type,משתנה לא צמודה
Interest Rate (%),2.0
Loan Term (months),168
Inflation Rate (%),1.2
Loan Amount,1000000
Channel,פריים
Amortization Method,קרן שווה
Total Monthly Payments,168
Total Mortgage Interest,140833.33
Extraction Timestamp,20250727_151535
Monthly Income,"12,000.00"
Total Investment Amount,"875,166.67"
Total Investment Final Value,"1,450,102.32"
Total Investment Profit After Tax,"282,499.59"
Effective Annual Return After Tax,3.18%
Weighted Monthly Payment (30 years),"5,989.44"
Weighted Cost (should be ~0),-0.43
Weighted Investment Profit,"140,832.90"
Weighted Calculation Converged,Yes
