Parameter,Value
Loan Type,פריים
Interest Rate (%),2.0
Loan Term (months),204
Inflation Rate (%),1.8
Loan Amount,1000000
Channel,פריים
Amortization Method,קרן שווה
Total Monthly Payments,204
Total Mortgage Interest,170833.33
Extraction Timestamp,20250727_160139
Monthly Income,"12,000.00"
Total Investment Amount,"1,277,166.67"
Total Investment Final Value,"2,393,482.61"
Total Investment Profit After Tax,"562,938.89"
Effective Annual Return After Tax,3.27%
Weighted Monthly Payment (30 years),"5,573.03"
Weighted Cost (should be ~0),-0.30
Weighted Investment Profit,"170,833.04"
Weighted Calculation Converged,Yes
