input_data,month,cur_duration,opening_balance,interest,capital,month_payment,cpi,closing_balance,monthly_income,monthly_investment,investment_final_value,investment_profit_after_tax,investment_net_value_after_tax
,61,180,116452.08235091624,356.14928518988546,0,356.14928518988546,291.1302058772906,116743.21255679353,1200,843.8507148101146,2315.1207087396783,752.7473989538555,2064.204909088393
,62,179,116743.21255679353,357.0396584028602,0,357.0396584028602,291.85803139198384,117035.07058818551,1200,842.9603415971399,2299.67525442774,744.618412808301,2051.4691168249733
,63,178,117035.07058818551,357.9322575488673,0,357.9322575488673,292.5876764704638,117327.65826465597,1200,842.0677424511327,2284.3242583680158,736.5518049296916,2038.8069900581186
,64,177,117327.65826465597,358.8270881927395,0,358.8270881927395,293.31914566163994,117620.9774103176,1200,841.1729118072606,2269.0671655881256,728.5471799165659,2026.218105615937
,65,176,117620.9774103176,359.7241559132213,0,359.7241559132213,294.052443525794,117915.0298538434,1200,840.2758440867788,2253.9034243108863,720.6041447126181,2013.7020427400137
,66,175,117915.0298538434,360.62346630300436,0,360.62346630300436,294.7875746346085,118209.81742847801,1200,839.3765336969957,2238.8324859361096,712.722308593175,2001.258383071718
,67,174,118209.81742847801,361.5250249687619,0,361.5250249687619,295.524543571195,118505.34197204921,1200,838.474975031238,2223.8538050225056,704.9012831517477,1988.8867106385896
,68,173,118505.34197204921,362.4288375311838,0,362.4288375311838,296.26335493012306,118801.60532697933,1200,837.5711624688163,2208.9668392696913,697.1406822866647,1976.586611840803
,69,172,118801.60532697933,363.3349096250118,0,363.3349096250118,297.00401331744837,119098.60934029678,1200,836.6650903749883,2194.171049500294,689.440122187774,1964.3576754377027
,70,171,119098.60934029678,364.2432468990743,0,364.2432468990743,297.74652335074194,119396.35586364752,1200,835.7567531009257,2179.4658996421645,681.7992213232271,1952.199492534422
,71,170,119396.35586364752,365.153855016322,0,365.153855016322,298.4908896591188,119694.84675330664,1200,834.846144983678,2164.8508567106846,674.2176004263358,1940.1116565685727
,72,169,119694.84675330664,366.0667396538628,0,366.0667396538628,299.2371168832666,119994.0838701899,1200,833.9332603461372,2150.325390791181,666.6948824825047,1928.0937632970126
,73,168,119994.0838701899,366.98190650299745,0,366.98190650299745,299.9852096754748,120294.06907986538,1200,833.0180934970026,2135.888975021428,659.2306927162351,1916.145410782683
,74,167,120294.06907986538,367.89936126925494,0,367.89936126925494,300.73517269966345,120594.80425256504,1200,832.100638730745,2121.541085574263,651.8246585782069,1904.2661993815273
,75,166,120594.80425256504,368.81910967242806,0,368.81910967242806,301.4870106314126,120896.29126319646,1200,831.1808903275719,2107.2812016402922,644.4764097324335,1892.4557317294812
,76,165,120896.29126319646,369.7411574466091,0,369.7411574466091,302.24072815799116,121198.53199135445,1200,830.2588425533909,2093.108805410693,637.1855780434854,1880.7136127295312
,77,164,121198.53199135445,370.66551034022564,0,370.66551034022564,302.99632997838614,121501.52832133284,1200,829.3344896597744,2079.02338206012,629.9517975637931,1869.039449538856
,78,163,121501.52832133284,371.59217411607625,0,371.59217411607625,303.7538208033321,121805.28214213617,1200,828.4078258839238,2065.024419729702,622.7747045210172,1857.4328515560296
,79,162,121805.28214213617,372.5211545513664,0,372.5211545513664,304.51320535534046,122109.79534749151,1200,827.4788454486336,2051.1114095101407,615.6539373054939,1845.8934304083093
,80,161,122109.79534749151,373.45245743774484,0,373.45245743774484,305.2744883687288,122415.06983586024,1200,826.5475425622551,2037.2838454248983,608.589136457748,1834.4207999389823
,81,160,122415.06983586024,374.3860885813392,0,374.3860885813392,306.0376745896506,122721.10751044989,1200,825.6139114186608,2023.5412244134884,601.5799446560823,1823.0145761947942
,82,159,122721.10751044989,375.32205380279254,0,375.32205380279254,306.8027687761247,123027.91027922601,1200,824.6779461972075,2009.8830463148543,594.6260067042329,1811.6743774134434
,83,158,123027.91027922601,376.2603589372995,0,376.2603589372995,307.56977569806503,123335.48005492408,1200,823.7396410627005,1996.3088138508451,587.7269695190969,1800.3998240111462
,84,157,123335.48005492408,377.2010098346428,0,377.2010098346428,308.3387001373102,123643.81875506138,1200,822.7989901653573,1982.818032609787,580.882482118531,1789.1905385702767
,85,156,123643.81875506138,378.14401235922935,0,378.14401235922935,309.10954688765344,123952.92830194904,1200,821.8559876407706,1969.4102110301426,574.0921956092177,1778.04614582707
,86,155,123952.92830194904,379.08937239012744,0,379.08937239012744,309.8823207548726,124262.81062270391,1200,820.9106276098726,1956.0848603842667,567.3557631746005,1766.9662726594
,87,154,124262.81062270391,380.03709582110275,0,380.03709582110275,310.6570265567598,124573.46764926067,1200,819.9629041788972,1942.8414947622546,560.6728400628905,1755.9505480746243
,88,153,124573.46764926067,380.9871885606555,0,380.9871885606555,311.4336691231517,124884.90131838383,1200,819.0128114393444,1929.6796310558784,554.0430835751384,1744.998603197499
,89,152,124884.90131838383,381.93965653205714,0,381.93965653205714,312.21225329595956,125197.11357167979,1200,818.0603434679429,1916.5987889426174,547.4661530533762,1734.1100712581588
,90,151,125197.11357167979,382.8945056733873,0,382.8945056733873,312.99278392919945,125510.10635560898,1200,817.1054943266126,1903.5984908697772,540.9417098688248,1723.2845875801688
,91,150,125510.10635560898,383.85174193757075,0,383.85174193757075,313.7752658890225,125823.881621498,1200,816.1482580624292,1890.6782620386998,534.469417410171,1712.5217895686428
,92,149,125823.881621498,384.81137129241466,0,384.81137129241466,314.559704053745,126138.44132555174,1200,815.1886287075854,1877.8376303890634,528.0489410719098,1701.821316698427
,93,148,126138.44132555174,385.7733997206457,0,385.7733997206457,315.3461033138794,126453.78742886562,1200,814.2266002793542,1865.0761265832691,521.6799482427532,1691.1828105023515
,94,147,126453.78742886562,386.73783321994733,0,386.73783321994733,316.13446857216405,126769.92189743779,1200,813.2621667800527,1852.3932839909198,515.3621082941058,1680.6059145595511
,95,146,126769.92189743779,387.7046778029972,0,387.7046778029972,316.92480474359445,127086.84670218138,1200,812.2953221970029,1839.788638673382,509.09509256860525,1670.0902744838468
,96,145,127086.84670218138,388.6739394975047,0,388.6739394975047,317.71711675545345,127404.56381893683,1200,811.3260605024952,1827.2617293684389,502.8785743687277,1659.6355379121962
,97,144,127404.56381893683,389.64562434624844,0,389.64562434624844,318.5114095473421,127723.07522848417,1200,810.3543756537515,1814.812097475032,496.712228945461,1649.2413544932117
,98,143,127723.07522848417,390.6197384071141,0,390.6197384071141,319.30768807121046,128042.38291655538,1200,809.380261592886,1802.439287038082,490.5957334870376,1638.9073758757363
