input_data,month,cur_duration,opening_balance,interest,capital,month_payment,cpi,closing_balance,monthly_income,monthly_investment,investment_final_value,investment_profit_after_tax,investment_net_value_after_tax
,75,76,100000,402.5,0,402.5,0,100000,1200,797.5,1217.2486519664017,193.4467418562857,1152.7664046809732
,76,75,100000,402.5,0,402.5,0,100000,1200,797.5,1210.4048469839345,190.08397841404837,1147.0435208459185
,77,74,100000,402.5,0,402.5,0,100000,1200,797.5,1203.5995203079026,186.74571892151215,1141.3509473340653
,78,73,100000,402.5,0,402.5,0,100000,1200,797.5,1196.832455599577,183.4318118382702,1135.6885183201537
,79,72,100000,402.5,0,402.5,0,100000,1200,797.5,1190.1034377365638,180.14210650980934,1130.0560688999608
,80,71,100000,402.5,0,402.5,0,100000,1200,797.5,1183.4122528059622,176.87645316244323,1124.4534350851477
,81,70,100000,402.5,0,402.5,0,100000,1200,797.5,1176.7586880975662,173.63470289827833,1118.88045379814
,82,69,100000,402.5,0,402.5,0,100000,1200,797.5,1170.1425320971025,170.4167076902072,1113.3369628670334
,83,68,100000,402.5,0,402.5,0,100000,1200,797.5,1163.5635744795065,167.22232037692947,1107.82280102053
,84,67,100000,402.5,0,402.5,0,100000,1200,797.5,1157.0216061022354,164.05139465800096,1102.3378078829019
,85,66,100000,402.5,0,402.5,0,100000,1200,797.5,1150.5164189986203,160.90378508891214,1096.8818239689829
,86,65,100000,402.5,0,402.5,0,100000,1200,797.5,1144.047806371255,157.7793470761932,1091.4546906791907
,87,64,100000,402.5,0,402.5,0,100000,1200,797.5,1137.6155625854224,154.6779368725475,1086.0562502945731
,88,63,100000,402.5,0,402.5,0,100000,1200,797.5,1131.2194831625557,151.59941157201214,1080.686345971885
,89,62,100000,402.5,0,402.5,0,100000,1200,797.5,1124.8593647737407,148.54362910514615,1075.344821738692
,90,61,100000,402.5,0,402.5,0,100000,1200,797.5,1118.5350052332499,145.5104482342463,1070.0315224885012
,91,60,100000,402.5,0,402.5,0,100000,1200,797.5,1112.2462034921157,142.49972854858893,1064.7462939759193
,92,59,100000,402.5,0,402.5,0,100000,1200,797.5,1105.9927596317405,139.51133045970076,1059.4889828118403
,93,58,100000,402.5,0,402.5,0,100000,1200,797.5,1099.7744748575387,136.54511519665346,1054.2594364586544
,94,57,100000,402.5,0,402.5,0,100000,1200,797.5,1093.5911514926192,133.60094480138767,1049.05750322549
,95,56,100000,402.5,0,402.5,0,100000,1200,797.5,1087.4425929715014,130.67868212406316,1043.8830322634803
,96,55,100000,402.5,0,402.5,0,100000,1200,797.5,1081.328603833865,127.77819081843273,1038.735873561054
,97,54,100000,402.5,0,402.5,0,100000,1200,797.5,1075.2489897183368,124.89933533724545,1033.615877939255
,98,53,100000,402.5,0,402.5,0,100000,1200,797.5,1069.2035573563132,122.04198092767425,1028.5228970470885
,99,52,100000,402.5,0,402.5,0,100000,1200,797.5,1063.1921145658152,119.20599362677066,1023.4567833568917
,100,51,100000,402.5,0,402.5,0,100000,1200,797.5,1057.2144702453793,116.3912402569432,1018.4173901597316
,101,50,100000,402.5,0,402.5,0,100000,1200,797.5,1051.270434367982,113.59758842146363,1013.4045715608274
,102,49,100000,402.5,0,402.5,0,100000,1200,797.5,1045.359817975,110.82490649999724,1008.4181824750009
,103,48,100000,402.5,0,402.5,0,100000,1200,797.5,1039.4824331702016,108.07306364415882,1003.4580786221486
,104,47,100000,402.5,0,402.5,0,100000,1200,797.5,1033.6380931137762,105.34192977309536,998.5241165227444
,105,46,100000,402.5,0,402.5,0,100000,1200,797.5,1027.8266120163912,102.63137556908961,993.6161534933614
,106,45,100000,402.5,0,402.5,0,100000,1200,797.5,1022.0478051332892,99.94127247319412,988.7340476422245
,107,44,100000,402.5,0,402.5,0,100000,1200,797.5,1016.3014887584127,97.27149268088513,983.8776578647843
,108,43,100000,402.5,0,402.5,0,100000,1200,797.5,1010.5874802185654,94.62190913774413,979.0468438393173
,109,42,100000,402.5,0,402.5,0,100000,1200,797.5,1004.9055978676045,91.99239553516307,974.2414660225501
