Parameter,Value
Loan Type,פריים
Interest Rate (%),3.0
Loan Term (months),96
Inflation Rate (%),1.2
Loan Amount,1000000
Channel,פריים
Amortization Method,שפיצר
Total Monthly Payments,96
Total Mortgage Interest,126038.91
Extraction Timestamp,20250729_011010
