Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),3.75
Loan Term (months),192
Inflation Rate (%),3.2
Loan Amount,1000000
Channel,פריים
Amortization Method,קרן שווה
Total Monthly Payments,192
Total Mortgage Interest,301562.50
Extraction Timestamp,20250727_162431
