Parameter,Value
Loan Type,משתנה לא צמודה
Interest Rate (%),5.0
Loan Term (months),60
Inflation Rate (%),1.0
Loan Amount,1000000
Channel,משתנה לא צמודה כל 5
Amortization Method,קרן שווה
Total Monthly Payments,60
Total Mortgage Interest,127083.33
Extraction Timestamp,20250728_092436
