input_data,month,cur_duration,opening_balance,interest,capital,month_payment,cpi,closing_balance
"{'number_program': 0, 'amount': 1000000, 'chanel': 'זכאות', 'amortization': 'קרן שווה', 'duration': 180, 'interest': 0.05, 'cpi': 0.04, 'month_interest_change': 0, 'interest_change': 0, 'grace': 0, 'payoff_amount': 0, 'payoff_month': 0, 'payoff_format': '', 'full_or_partial_payoff': ''}",1,180,1003333.3333333334,4180.555555555556,5574.074074074074,9754.62962962963,3325.8641975308647,1001085.1234567902
,2,179,1001085.1234567902,4171.188014403293,5592.6543209876545,9763.842335390947,3318.3082304526756,998810.7773662553
,3,178,998810.7773662553,4161.711572359397,5611.296502057614,9773.008074417012,3310.6649362139924,996510.1458004117
,4,177,996510.1458004117,4152.125607501715,5630.0008237311395,9782.126431232855,3302.9338165889353,994183.0787932695
,5,176,994183.0787932695,4142.429494971956,5648.767493143577,9791.196988115533,3295.11437100042,991829.4256711263
,6,175,991829.4256711263,4132.622606963027,5667.596718120722,9800.219325083748,3287.206096510019,989449.0350495157
,7,174,989449.0350495157,4122.704312706315,5686.4887071811245,9809.19301988744,3279.2084878077817,987041.7548301423
,8,173,987041.7548301423,4112.673978458926,5705.443669538395,9818.117647997322,3271.121037202013,984607.4321978058
,9,172,984607.4321978058,4102.530967490858,5724.461815103522,9826.99278259438,3262.943234609008,982145.9136173113
,10,171,982145.9136173113,4092.2746400721303,5743.5433544872,9835.817994559331,3254.6745675427474,979657.0448303669
,11,170,979657.0448303669,4081.904353459862,5762.688499002158,9844.59285246202,3246.3145211045494,977140.6708524693
,12,169,977140.6708524693,4071.4194618852885,5781.897460665498,9853.316922550786,3237.8625779726794,974596.6359697764
,13,168,974596.6359697764,4060.819316540735,5801.1704522010505,9861.989768741785,3229.318218391918,972024.7837359674
,14,167,972024.7837359674,4050.103265566531,5820.507687041721,9870.610952608251,3220.6809201630854,969424.9569690886
,15,166,969424.9569690886,4039.2706540378695,5839.909379331859,9879.180033369728,3211.9501586325227,966796.9977483893
,16,165,966796.9977483893,4028.320823951622,5859.375743929631,9887.696567881254,3203.1254066815322,964140.7474111412
,17,164,964140.7474111412,4017.2531142130883,5878.906996409398,9896.160110622486,3194.206134715773,961456.0465494476
,18,163,961456.0465494476,4006.066860622698,5898.503353064096,9904.570213686795,3185.191810654612,958742.7350070381
,19,162,958742.7350070381,3994.761395862659,5918.165030907643,9912.926426770302,3176.0818999204353,956000.651876051
,20,161,956000.651876051,3983.3360494835456,5937.892247677335,9921.22829716088,3166.8758654279122,953229.6354938016
,21,160,953229.6354938016,3971.7901478908398,5957.68522183626,9929.4753697271,3157.573167573218,950429.5234395385
,22,159,950429.5234395385,3960.1230143314106,5977.544172575715,9937.667186907125,3148.1732642232096,947600.1525311861
,23,158,947600.1525311861,3948.333968879942,5997.469319817634,9945.803288697576,3138.6756107045617,944741.3588220731
,24,157,944741.3588220731,3936.4223284253044,6017.460884217026,9953.883212642331,3129.079659792854,941852.9775976489
,25,156,941852.9775976489,3924.38740665687,6037.519087164415,9961.906493821285,3119.384861701615,938934.8433721861
,26,155,938934.8433721861,3912.228514050775,6057.644150788297,9969.872664839073,3109.590664071326,935986.7898854691
,27,154,935986.7898854691,3899.944957856121,6077.836297957591,9977.781255813712,3099.696511958372,933008.6500994699
,28,153,933008.6500994699,3887.536042081125,6098.095752284117,9985.631794365243,3089.701847823953,930000.2561950097
,29,152,930000.2561950097,3875.001067479207,6118.422738125064,9993.42380560427,3079.606111522949,926961.4395684076
,30,151,926961.4395684076,3862.3393315350318,6138.817480585481,10001.156812120513,3069.4087402927403,923892.0308281148
,31,150,923892.0308281148,3849.5501284504785,6159.280205520766,10008.830333971244,3059.1091687419803,920791.859791336
,32,149,920791.859791336,3836.6327491305665,6179.811139539168,10016.443888669735,3048.706828839323,917660.7554806363
,33,148,917660.7554806363,3823.5864811693177,6200.410510004299,10023.996991173617,3038.201149902107,914498.5461205341
,34,147,914498.5461205341,3810.4106088355584,6221.078545037647,10031.489153873204,3027.5915585849884,911305.0591340814
,35,146,911305.0591340814,3797.1044130586724,6241.815473521106,10038.919886579777,3016.877478868534,908080.1211394288
,36,145,908080.1211394288,3783.6671714142867,6262.621525099509,10046.288696513795,3006.0583320477645,904823.5579463771
,37,144,904823.5579463771,3770.0981581099045,6283.496930183174,10053.59508829308,2995.1335367206466,901535.1945529146
,38,143,901535.1945529146,3756.3966439704773,6304.441919950452,10060.83856392093,2984.1025087765474,898214.8551417408
,39,142,898214.8551417408,3742.5618964239197,6325.456726350287,10068.018622774207,2972.9646613846353,894862.3630767751
,40,141,894862.3630767751,3728.593179486563,6346.541582104788,10075.134761591351,2961.7194049822347,891477.5408996526
,41,140,891477.5408996526,3714.4897537485526,6367.696720711804,10082.186474460357,2950.3661472631366,888060.210326204
,42,139,888060.210326204,3700.250876359183,6388.922376447511,10089.173252806693,2938.904293165855,884610.1922429224
,43,138,884610.1922429224,3685.8758010121765,6410.218784369003,10096.094585381179,2927.333244861845,881127.3067034152
,44,137,881127.3067034152,3671.363777930897,6431.586180316899,10102.949958247797,2915.6524017436614,877611.372924842
,45,136,877611.372924842,3656.7140538535086,6453.024800917956,10109.738854771465,2903.8611604130806,874062.2092843372
,46,135,874062.2092843372,3641.925872018072,6474.534883587683,10116.460755605754,2891.958914669165,870479.6333154186
,47,134,870479.6333154186,3626.9984721475776,6496.116666532975,10123.115138680552,2879.945055496286,866863.461704382
,48,133,866863.461704382,3611.931090434925,6517.770388754751,10129.701479189676,2867.818971052091,863213.5102866793
,49,132,863213.5102866793,3596.72295952783,6539.496290050601,10136.219249578431,2855.580046655429,859529.5940432841
,50,131,859529.5940432841,3581.3733085136837,6561.294611017435,10142.667919531119,2843.2276647742224,855811.5270970408
,51,130,855811.5270970408,3565.8813629043366,6583.16559305416,10149.046955958496,2830.761205013289,852059.1227089999
,52,129,852059.1227089999,3550.246344620833,6605.10947836434,10155.355822985173,2818.1800441021187,848272.1932747377
,53,128,848272.1932747377,3534.4674719780737,6627.126509958888,10161.593981936961,2805.483555882596,844450.5503206614
,54,127,844450.5503206614,3518.5439596694223,6649.2169316587515,10167.760891328173,2792.6711112966755,840594.0045002992
,55,126,840594.0045002992,3502.475018751247,6671.380988097613,10173.85600684886,2779.7420783740054,836702.3655905756
,56,125,836702.3655905756,3486.259856627398,6693.618924724605,10179.878781352003,2766.6958222195035,832775.4424880705
,57,124,832775.4424880705,3469.8976770336267,6715.93098780702,10185.828664840647,2753.5317050008784,828813.0432052644
,58,123,828813.0432052644,3453.387680021935,6738.317424433044,10191.705104454979,2740.2490859361046,824814.9748667674
,59,122,824814.9748667674,3436.729061944864,6760.778482514487,10197.507544459351,2726.8473212808435,820781.0437055338
,60,121,820781.0437055338,3419.921015439724,6783.314410789536,10203.235426229261,2713.3257643158145,816711.0550590601
,61,120,816711.0550590601,3402.9627294127504,6805.925458825501,10208.888188238252,2699.6837653341154,812604.8133655686
,62,119,812604.8133655686,3385.8533890232025,6828.611877021585,10214.465266044788,2685.9206716284903,808462.1221601755
,63,118,808462.1221601755,3368.592175667398,6851.373916611657,10219.966092279054,2672.0358274785463,804282.7840710423
,64,117,804282.7840710423,3351.1782669626764,6874.211829667029,10225.390096629704,2658.028574137918,800066.6008155133
,65,116,800066.6008155133,3333.6108367313054,6897.125869099253,10230.736705830557,2643.89824982138,795813.3731962354
,66,115,795813.3731962354,3315.889054984314,6920.116288662916,10236.00534364723,2629.6441896919087,791522.9010972644
,67,114,791522.9010972644,3298.0120879052683,6943.183342958459,10241.195430863729,2615.2657258476866,787194.9834801536
,68,113,787194.9834801536,3279.9790978339734,6966.327287434988,10246.306385268961,2600.7621873090625,782829.4183800278
,69,112,782829.4183800278,3261.7892432501158,6989.548378393105,10251.33762164322,2586.1329000054493,778426.0029016401
,70,111,778426.0029016401,3243.441678756834,7012.846872987749,10256.288551744583,2571.377186762175,773984.5332154146
,71,110,773984.5332154146,3224.9355550642276,7036.223029231042,10261.15858429527,2556.4943672872787,769504.8045534708
,72,109,769504.8045534708,3206.270018972795,7059.677105995145,10265.94712496794,2541.4837581582524,764986.611205634
,73,108,764986.611205634,3187.444213356808,7083.209363015129,10270.653576371937,2526.3446728087297,760429.7465154276
,74,107,760429.7465154276,3168.457277147615,7106.820060891847,10275.277338039461,2511.0764215151194,755834.0028760509
,75,106,755834.0028760509,3149.308345316879,7130.50946109482,10279.817806411698,2495.678311383187,751199.1717263393
,76,105,751199.1717263393,3129.996548859747,7154.277825965136,10284.274374824883,2480.1496463345807,746525.0435467088
,77,104,746525.0435467088,3110.521014777953,7178.125418718353,10288.646433496306,2464.4897270933016,741811.4078550837
,78,103,741811.4078550837,3090.880866062849,7202.052503447415,10292.933369510263,2448.6978511721213,737058.0532028084
,79,102,737058.0532028084,3071.075221678368,7226.059345125573,10297.134566803941,2432.773312858943,732264.7671705417
,80,101,732264.7671705417,3051.103196543924,7250.146209609324,10301.249406153247,2416.715403203108,727431.3363641355
,81,100,727431.3363641355,3030.963901517231,7274.313363641355,10305.277265158586,2400.5234100016473,722557.5464104958
,82,99,722557.5464104958,3010.6564433770654,7298.561074853493,10309.217518230558,2384.1966177854742,717643.1819534277
