input_data,month,cur_duration,opening_balance,interest,capital,month_payment,cpi,closing_balance
"{'number_program': 0, 'amount': 1000000, 'chanel': 'קבועה צמודה', 'amortization': 'קרן שווה', 'duration': 192, 'interest': 0.03, 'cpi': 0.03, 'month_interest_change': 0, 'interest_change': 0, 'grace': 0, 'payoff_amount': 0, 'payoff_month': 0, 'payoff_format': '', 'full_or_partial_payoff': ''}",1,192,1002500,2506.25,5221.354166666667,7727.604166666667,2493.1966145833335,999771.8424479167
,2,191,999771.8424479167,2499.429606119792,5234.407552083334,7733.837158203126,2486.3435872395835,997023.778483073
,3,190,997023.778483073,2492.5594462076824,5247.493570963542,7740.053017171224,2479.4407122802736,994255.7256243897
,4,189,994255.7256243897,2485.6393140609744,5260.612304890951,7746.251618951926,2472.4877832987468,991467.6011027974
,5,188,991467.6011027974,2478.6690027569935,5273.763835653178,7752.432838410172,2465.4845931678606,988659.3218603121
,6,187,988659.3218603121,2471.6483046507806,5286.948245242311,7758.596549893091,2458.4309340376744,985830.8045491074
,7,186,985830.8045491074,2464.5770113727685,5300.165615855416,7764.742627228185,2451.3265973331304,982981.9655305853
,8,185,982981.9655305853,2457.4549138264633,5313.4160298950555,7770.870943721518,2444.1713737517257,980112.7208744419
,9,184,980112.7208744419,2450.281802186105,5326.699569969793,7776.981372155898,2436.9650532611804,977222.9863577333
,10,183,977222.9863577333,2443.0574658943333,5340.016318894717,7783.0737847890505,2429.7074250970963,974312.6774639357
,11,182,974312.6774639357,2435.781693659839,5353.366359691954,7789.148053351793,2422.3982777606093,971381.7093820043
,12,181,971381.7093820043,2428.454273455011,5366.7497755911845,7795.204049046195,2415.037399016033,968429.9970054292
,13,180,968429.9970054292,2421.0749925135733,5380.166650030163,7801.241642543736,2407.6245758884975,965457.4549312876
,14,179,965457.4549312876,2413.643637328219,5393.617066655238,7807.260703983457,2400.159594661581,962463.9974592939
,15,178,962463.9974592939,2406.159993648235,5407.101109321876,7813.261102970111,2392.64224087493,959449.5385908469
