input_data,month,cur_duration,opening_balance,interest,capital,month_payment,cpi,closing_balance,monthly_income,monthly_investment
"{'number_program': 0, 'amount': 1000000, 'chanel': 'קבועה צמודה', 'amortization': 'קרן שווה', 'duration': 120, 'interest': 0.045, 'cpi': 0.038, 'month_interest_change': 0, 'interest_change': 0, 'grace': 0, 'payoff_amount': 0, 'payoff_month': 0, 'payoff_format': '', 'full_or_partial_payoff': ''}",1,120,1003166.6666666666,3761.8749999999995,8359.722222222223,12121.597222222223,3150.2219907407402,997957.1664351851,12000,0
,2,119,997957.1664351851,3742.339374131944,8386.194675925926,12128.534050057871,3133.6414105709873,992704.6131698302,12000,0
,3,118,992704.6131698302,3722.642299386863,8412.750959066358,12135.393258453221,3116.9242303340857,987408.786441098,12000,0
,4,117,987408.786441098,3702.7829491541174,8439.391337103401,12142.17428625752,3100.069751162649,982069.4648551572,12000,0
,5,116,982069.4648551572,3682.7604932068393,8466.116076337563,12148.876569544402,3083.0772711329287,976686.4260499526,12000,0
,6,115,976686.4260499526,3662.574097687322,8492.92544391263,12155.499541599953,3065.94608525246,971259.4466912925,12000,0
,7,114,971259.4466912925,3642.2229250923465,8519.819707818355,12162.042632910701,3048.675485447668,965788.3024689218,12000,0
,8,113,965788.3024689218,3621.7061342584566,8546.799136893113,12168.50527115157,3031.264760551424,960272.76809258,12000,0
,9,112,960272.76809258,3601.022880347175,8573.864000826607,12174.886881173781,3013.7131962905523,954712.617288044,12000,0
,10,111,954712.617288044,3580.172314830165,8601.014570162559,12181.186884992723,2996.0200752732912,949107.6227931547,12000,0
,11,110,949107.6227931547,3559.1535854743297,8628.251116301406,12187.404701775737,2978.184676976702,943457.55635383,12000,0
,12,109,943457.55635383,3537.9658363268627,8655.573911503028,12193.539747829891,2960.206277734035,937762.188720061,12000,0
,13,108,937762.188720061,3516.6082077002284,8682.983228889454,12199.591436589682,2942.0841507220434,932021.2896418936,12000,0
,14,107,932021.2896418936,3495.079836157101,8710.479342447603,12205.559178604704,2923.8175659482454,926234.6278653942,12000,0
,15,106,926234.6278653942,3473.3798544952283,8738.062527032022,12211.44238152725,2905.405790238147,920401.9711286004,12000,0
